TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05571905,-1,15.25291,-33,0,0,0
0.1020408,-1,15.18228,-33,0,0,0
0.1538184,-1,15.01747,-33,0,0,0
0.2069409,-1,14.78203,-33,0,0,0
0.2567111,-1,14.58583,-33,0,0,0
0.3057489,-1,14.23267,-33,0,0,0
0.3547519,-1,13.95799,-33,0,0,0
0.4037836,-1,13.675,-33,0,0,0
0.4527148,-1,13.675,-33,0,0,0
0.5029714,-1,13.675,-33,0,0,0
0.5516629,-1,13.675,-33,0,0,0
0.601063,-1,13.675,-33,0,0,0
0.6507408,-1,13.675,-33,0,0,0
0.7000106,-1,13.675,-33,0,0,0
0.7487631,-1,13.675,-33,0,0,0
0.7979452,-1,13.675,-33,0,0,0
0.8476954,-1,13.675,-33,0,0,0
0.8967055,-1,13.675,-33,0,0,0
0.947055,-1,13.675,-33,0,0,0
0.9960046,-1,13.675,-33,357.1,359.7,8.348324E-10
1.04643,-1,13.675,-33,353.1,0.4,0
1.095232,-1,13.675,-33,349.5,1,6.7837E-09
1.144071,-1,13.675,-33,345.9,1,0
1.194047,-1,13.675,-33,344.3,1,-1.38572E-08
1.246227,-1,13.675,-33,342.7,1.2,-1.397231E-08
1.294741,-1,13.675,-33,339.1,2.2,-8.567854E-08
1.344601,-1,13.675,-33,335.5,3.2,0
1.394041,-1,13.675,-33,334,3.700001,-5.936938E-08
1.439692,-1,13.675,-33,333.4,3.800001,-5.967746E-08
1.483575,-1,13.675,-33,333.4,3.800001,-5.967746E-08
1.521606,-1,13.675,-33,333.4,3.800001,-5.967746E-08
1.557652,-1,13.675,-33,333.7,3.800001,5.95222E-08
1.5929,-1,13.675,-33,334.8,3.800001,0
1.627861,-1,13.675,-33,335.5,3.800001,0
1.663716,-1,13.675,-33,336.2,3.6,0
1.698976,-1,13.675,-33,337.5,3.100001,-5.775737E-08
1.735835,-1,13.675,-33,339.6,2.1,2.846574E-08
1.772514,-1,13.675,-33,342.5,1.300001,0
1.811109,-1,13.675,-33,343.7,1.000001,-1.389887E-08
1.848951,-1,13.675,-33,344.3,0.9000007,0
1.893059,-1,13.675,-33,344.7,0.8000007,1.38304E-08
1.939166,-1,13.675,-33,345,0.7000006,0
1.984863,-1,13.675,-33,345.1,0.6000007,-6.902185E-09
2.03399,-1,13.675,-33,345.5,0.6000006,6.889556E-09
2.082907,-1,13.675,-33,345.6,0.5000007,-6.886458E-09
2.131798,-1,13.675,-33,345.6,0.5000007,-6.886458E-09
2.181769,-1,13.675,-33,345.6,0.5000007,-6.886458E-09
2.230778,-1,13.675,-33,346,0.5000007,0
2.280797,-1,13.675,-33,348,0.5000007,0
2.330167,-1,13.675,-33,349.6,0.5000007,0
2.378841,-1,13.675,-33,350.3,0.5000007,0
2.429063,-1,13.675,-33,350.4,0.5000007,-3.382421E-09
2.477986,-1,13.675,-33,350.5,0.2000007,0
2.528002,-1,13.675,-33,349.2,357.2,2.716153E-08
2.578024,-1,13.675,-33,347.9,353.8,0
2.628146,-1,13.675,-33,347.4,351.9,5.467767E-08
2.678217,-1,13.675,-33,346.9,349.8,0
2.72797,-1,13.675,-33,345.7,346.5,0
2.77706,-1,13.675,-33,344.3,343.4,0
2.826811,-1,13.675,-33,342.8,339.8,0
2.875776,-1,13.675,-33,341.9,337.8,4.491108E-07
2.925556,-1,13.675,-33,341.8,337.7,0
2.97461,-1,13.675,-33,341.8,337.7,0
3.019564,-1,13.675,-33,341.8,337.7,0
3.063398,-1,13.675,-33,341.8,337.7,0
3.108618,-1,13.675,-33,341.8,337.7,0
3.152349,-1,13.675,-33,341.7,339.1,0
3.196918,-1,13.675,-33,342.2,342,0
3.24177,-1,13.675,-33,343.2,345.5,0
3.285744,-1,13.675,-33,343.7,347.2,-2.22382E-07
3.329992,-1,13.675,-33,344.4,348.7,0
3.374835,-1,13.675,-33,344.8,349.8,2.211811E-07
3.421126,-1,13.675,-33,345.4,352.1,1.102828E-07
3.469079,-1,13.675,-33,346.1,353.8,0
3.51895,-1,13.675,-33,347.2,355.1,-5.47207E-08
3.568516,-1,13.675,-33,348.1,356.2,0
3.616968,-1,13.675,-33,348.4,356.7,-2.723673E-08
3.666979,-1,13.675,-33,348.6,357,2.721739E-08
3.716851,-1,13.675,-33,349.2,357.6,-2.716153E-08
3.765958,-1,13.675,-33,349.6,357.9,1.356303E-08
3.815928,-1,13.675,-33,350.2,358.4,-1.353776E-08
3.864861,-1,13.675,-33,350.4,358.6,1.352968E-08
3.915064,-1,13.675,-33,350.7,358.8,0
3.964971,-1,13.675,-33,351,358.9,0
4.015084,-1,13.675,-33,351,358.9,0
4.064784,-1,13.675,-33,351.1,359,6.751395E-09
4.114838,-1,13.675,-33,351.2,359.1,0
4.165002,-1,13.675,-33,351.2,359.1,0
4.214894,-1,13.675,-33,351.2,359.4,0
4.264768,-1,13.675,-33,351.2,359.6,0
4.31492,-1,13.675,-33,351.2,359.9,0
4.364934,-1.000419,13.675,-32.76,351.2,0.2000025,-1.68739E-09
4.414917,-0.9998603,13.675,-32.6,351.2,0.8000025,-6.749559E-09
4.464965,-0.9998603,13.675,-32.6,351.2,0.9000025,0
4.514753,-0.9998603,13.675,-32.6,351.2,1.000003,0
4.564926,-0.9998603,13.675,-32.6,351.2,1.000003,0
4.615973,-0.9998603,13.675,-32.6,351.2,1.200003,-1.349912E-08
4.666261,-0.9998603,13.675,-32.6,351.2,1.300002,6.74956E-09
4.715595,-0.9998603,13.675,-32.6,351.2,1.500003,0
4.765949,-0.9998603,13.675,-32.6,351.2,1.600002,-1.349912E-08
4.816997,-0.9998603,13.675,-32.6,351.2,1.600002,-1.349912E-08
4.866948,-0.9998603,13.675,-32.6,351.2,1.600002,-1.349912E-08
